:@shape_4mgc_zixj,:@shape_5z9w_cbt8,:@shape_6ewd_9sc3,:@shape_aq3k_3tib,:@shape_bscd_tnyk,:@shape_e2cj_qfkp,:@shape_eryg_k77a,:@shape_fhz7_bxgz,:@shape_iy6w_rss3,:@shape_khwz_iwxt,:@shape_sc7y_jcba,:@shape_su2i_xeh6,:@shape_vtii_d5t6,:@shape_xhbw_kju9,:@shape_xpvc_czfe,_id,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed165c,BRUCETON MILLS CIR & KITTS HILL TER,SO2017042700061141,ASHBURN,,,2017-04-27T20:03:27.000,Thursday,15,2017-04-27T15:34:32.000,TAMPERING/OTHER,803095976,CAD TAMPERING/OTHER,39.0334,"{'type': 'Point', 'coordinates': [-77.4789, 39.0334]}",-77.4789,Property Crime,VA,2017-05-04T19:32:16.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed165d,46200 Block POTOMAC RUN PLZ,SO2017042700061142,STERLING,,,2017-04-27T20:03:27.000,Thursday,15,2017-04-27T15:35:14.000,LARCENY,803095977,CAD LARCENY,39.0257,"{'type': 'Point', 'coordinates': [-77.4007, 39.0257]}",-77.4007,Theft,VA,2017-05-04T19:32:16.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed165e,CHARLES TOWN PIKE & OLD WHEATLAND RD,SO2017042700061156,WATERFORD,,,2017-04-27T20:33:08.000,Thursday,16,2017-04-27T16:00:21.000,CRASH PROPERTY DAMAGE,803096530,CAD CRASH PROPERTY DAMAGE,39.1858,"{'type': 'Point', 'coordinates': [-77.6685, 39.1858]}",-77.6685,Traffic,VA,2017-05-04T20:03:58.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed165f,1 Block HOWARD PL,SO2017042700061162,STERLING,,,2017-04-27T20:33:08.000,Thursday,16,2017-04-27T16:07:07.000,VEH TAMP/GRAFFITI CRIM MISCHIEF,803096536,CAD VEH TAMP/GRAFFITI CRIM MISCHIEF,39.036,"{'type': 'Point', 'coordinates': [-77.3768, 39.036]}",-77.3768,Property Crime,VA,2017-05-04T20:04:00.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1660,RIDING CENTER DR & RIDING PLZ,SO2017041400054453,CHANTILLY,,,2017-04-14T21:32:41.000,Friday,17,2017-04-14T17:12:25.000,CRASH PROPERTY DAMAGE,801925609,CAD CRASH PROPERTY DAMAGE,38.9236,"{'type': 'Point', 'coordinates': [-77.5211, 38.9236]}",-77.5211,Traffic,VA,2017-04-21T21:04:50.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1661,20000 Block EVERGREEN MILLS RD,SO2017042900062222,LEESBURG,,,2017-04-29T11:03:58.000,Saturday,6,2017-04-29T06:49:38.000,CRASH PROPERTY DAMAGE,803242091,CAD CRASH PROPERTY DAMAGE,39.0664,"{'type': 'Point', 'coordinates': [-77.5727, 39.0664]}",-77.5727,Traffic,VA,2017-05-06T10:32:43.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1662,300 Block ENTERPRISE ST,SO2017051000067926,STERLING,,,2017-05-10T06:33:01.000,Wednesday,2,2017-05-10T02:21:02.000,TRESPASSING,804734719,CAD TRESPASSING,38.9982,"{'type': 'Point', 'coordinates': [-77.4046, 38.9982]}",-77.4046,Disorder,VA,2017-05-17T06:06:55.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1663,23200 Block SOUTHDOWN MANOR TER,SO2017042700061025,ASHBURN,,,2017-04-27T16:33:16.000,Thursday,12,2017-04-27T12:20:28.000,LARCENY,803079206,CAD LARCENY,38.9725,"{'type': 'Point', 'coordinates': [-77.5132, 38.9725]}",-77.5132,Theft,VA,2017-05-04T16:05:39.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1664,HARRY BYRD HWY EB & CHARLES TOWN PIKE,SO2017042900062277,LEESBURG,,,2017-04-29T13:33:08.000,Saturday,9,2017-04-29T09:15:22.000,CRASH PROPERTY DAMAGE,803270648,CAD CRASH PROPERTY DAMAGE,39.1408,"{'type': 'Point', 'coordinates': [-77.6122, 39.1408]}",-77.6122,Traffic,VA,2017-05-06T13:09:58.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1665,22600 Block VERDE GATE TER,SO2017042900062268,ASHBURN,,,2017-04-29T13:03:34.000,Saturday,8,2017-04-29T08:57:43.000,HIT & RUN,803270100,CAD HIT & RUN,38.9902,"{'type': 'Point', 'coordinates': [-77.5296, 38.9902]}",-77.5296,Traffic,VA,2017-05-06T12:32:17.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1666,42400 Block RYAN RD,SO2017050700066773,ASHBURN,,,2017-05-08T00:03:09.000,Sunday,19,2017-05-07T19:41:42.000,HIT & RUN,804460468,CAD HIT & RUN,38.9858,"{'type': 'Point', 'coordinates': [-77.5349, 38.9858]}",-77.5349,Traffic,VA,2017-05-14T23:32:14.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1667,VANDERCASTEL RD & HOPTON CT,SO2017050700066755,STERLING,,,2017-05-07T23:03:14.000,Sunday,18,2017-05-07T18:49:21.000,HIT & RUN,804459606,CAD HIT & RUN,39.043,"{'type': 'Point', 'coordinates': [-77.4123, 39.043]}",-77.4123,Traffic,VA,2017-05-14T22:32:23.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1668,21400 Block DEEPWOOD TER,SO2017050700066756,ASHBURN,,,2017-05-07T23:03:14.000,Sunday,18,2017-05-07T18:52:12.000,NOISE COMPLAINT,804459607,CAD NOISE COMPLAINT,39.0243,"{'type': 'Point', 'coordinates': [-77.5074, 39.0243]}",-77.5074,Disorder,VA,2017-05-14T22:32:23.000,
,,,,,,,,,,,,,,,5d5a01a87261d0c1f6ed1669,20700 Block GREAT FALLS PLZ,SO2017042800062122,STERLING,,,2017-04-29T03:33:01.000,Friday,23,2017-04-28T23:10:26.000,NOISE COMPLAINT,803202830,CAD NOISE COMPLAINT,39.0401,"{'type': 'Point', 'coordinates': [-77.3583, 39.0401]}",-77.3583,Disorder,VA,2017-05-06T03:13:25.000,
