,Address,AreaSpace_SQFT,Bathrooms,Bedrooms,Cooling,Date_available,DaysOnZillow,Deposit_fees,Description,HOAFee,Heating,Latitude,Laundry,Locality,Longitude,Lot,Parking,Pets,PredictionPrice,PredictionRent,Price,Price_PerSQFT,Rent,RentRatio,Rentzestimate,SaleHistory,Saves,State,Status,TransitScore,Type,WalkScore,YearBuilt,ZestimatePrice,ZipCode,_id,location,zid
,"2828 16th Pl S, Birmingham, AL 35209",1266,2.0,2,Central,,,,,,Forced air,,,Birmingham,,"7,405 sqft",No Data,,,1493.2927627610575,335000,265,,0.004457590336600171,,"[{'price': '$335,000(+59.9%)', 'date': '6/6/2019', 'event': 'Listed for sale'}, {'price': '$209,500(-1.2%)', 'date': '6/6/2012', 'event': 'Sold'}, {'price': '$212,000(+51.4%)', 'date': '1/14/2008', 'event': 'Sold'}, {'price': '$140,000(+14.8%)', 'date': '8/2/2001', 'event': 'Sold'}, {'price': '$122,000--', 'date': '3/10/1999', 'event': 'Sold'}]",,AL,For sale,,Single Family,,1935,320487,35209,5cf8c42c0627bf22fecf3038,,1003658
,"149 Anthony Wayne Dr, Collegeville, PA 19426",2070,4.0,4,Central,,,,,,Forced air,40.149626,,Collegeville,-75.456024,0.39 acres,2 spaces,,,2484.1528763183655,439900,213,,0.005647085420137226,,"[{'event': 'Listed for sale', 'price': '$439,900(+90.8%)', 'date': '6/19/2019'}, {'event': 'Sold', 'price': '$230,550--', 'date': '5/6/1999'}]",,PA,For sale,,Single Family,,1998,435367,19426,5d09c8c2f184f611416d98d3,"{'type': 'Point', 'coordinates': [-75.456024, 40.149626]}",10055702
,"65 E Monroe St, Unit 4307, Chicago, IL 60603",975,1.0,1,Central,,,,,$590/month,Other,41.879729,,Chicago,-87.625634,,None,,,2169.894111023151,410000,421,,0.005292424661032075,,"[{'price': '$410,000(+1%)', 'event': 'Listed for sale', 'date': '6/12/2019'}, {'price': '$406,000(-2.1%)', 'event': 'Sold', 'date': '10/17/2017'}, {'price': '$414,900--', 'event': 'Pending sale', 'date': '9/26/2017'}, {'price': '$414,900--', 'event': 'Back on market', 'date': '9/15/2017'}, {'price': '$414,900--', 'event': 'Pending sale', 'date': '7/30/2017'}]",,IL,For sale,,Condo,,2008,411093,60603,5d0082a1dcff315a6b620e84,"{'type': 'Point', 'coordinates': [-87.625634, 41.879729]}",101307805
,"4650 Reka Dr, Apartment F19, Anchorage, AK 99508",926,2.0,2,Central,,,,,$278/month,Baseboard,61.204156,,Anchorage,-149.794113,,No Data,,,1127.259493798315,110000,119,,0.010247813579984682,,"[{'price': '$110,000(-5.2%)', 'event': 'Price change', 'date': '5/29/2019'}, {'price': '$116,000(+16.1%)', 'event': 'Listed for sale', 'date': '3/13/2019'}, {'price': '$99,900--', 'event': 'Listing removed', 'date': '10/30/2015'}, {'price': '$99,900(-4.8%)', 'event': 'Price change', 'date': '9/29/2015'}, {'price': '$104,900(+55.4%)', 'event': 'Listed for sale', 'date': '6/16/2015'}]",,AK,For sale,,Condo,,1978,107064,99508,5d027af3882c28a161aa5db6,"{'coordinates': [-149.794113, 61.204156], 'type': 'Point'}",10149
,"14035 3rd St, Broadview, MT 59015",1820,1.0,3,Central,,,,,,Forced air,46.100057,,Broadview,-108.88136,0.45 acres,9 spaces,,,1202.468112242496,267500,147,,0.00449520789623363,,"[{'date': '4/18/2019', 'event': 'Listed for sale', 'price': '$267,500--'}]",,MT,For sale,,Single Family,,2009,270712,59015,5cfaa427ed8634a2db2c0548,"{'type': 'Point', 'coordinates': [-108.88136, 46.100057]}",101683190
,"708 56th St W, Billings, MT 59106",1476,2.0,3,Central,,,,,,Forced air,45.77724,,Billings,-108.659505,0.91 acres,4 spaces,,,1409.089244306787,289000,196,,0.004875741329781269,,"[{'date': '6/1/2019', 'event': 'Price change', 'price': '$289,000(-2.3%)'}, {'date': '12/10/2018', 'event': 'Listed for sale', 'price': '$295,900--'}]",,MT,For sale,,Single Family,,1986,290784,59106,5cfac55b2b330eeec82c05bd,"{'type': 'Point', 'coordinates': [-108.659505, 45.77724]}",101685170
,"495 El Paso St, Billings, MT 59101",2092,2.0,4,Central,,,,,,Forced air,45.805905,,Billings,-108.403197,0.46 acres,3 spaces,,,1363.6898813829648,294000,141,,0.004638400957084914,,"[{'date': '5/17/2019', 'event': 'Price change', 'price': '$294,000(-0.7%)'}, {'date': '4/25/2019', 'event': 'Price change', 'price': '$296,000(-1.3%)'}, {'date': '4/14/2019', 'event': 'Price change', 'price': '$299,999(-1.6%)'}, {'date': '4/3/2019', 'event': 'Listed for sale', 'price': '$305,000(+24.5%)'}, {'date': '11/28/2016', 'event': 'Listing removed', 'price': '$245,000--'}]",,MT,For sale,,Single Family,,2009,291225,59101,5cfabb3d5a9144c62d2c059f,"{'type': 'Point', 'coordinates': [-108.403197, 45.805905]}",101687214
,"9215 Kautzman Rd, Billings, MT 59101",3710,3.0,5,Central,,,,,,Forced air,45.703104,,Billings,-108.649086,1 acre,4 spaces,,,2535.463113454065,499900,135,,0.005071940615031136,,"[{'date': '5/23/2019', 'event': 'Price change', 'price': '$499,900(+0.2%)'}, {'date': '5/22/2019', 'event': 'Listed for sale', 'price': '$499,000--'}]",,MT,For sale,,Single Family,,2009,472715,59101,5cfab0275a9144c62d2c0575,"{'type': 'Point', 'coordinates': [-108.649086, 45.703104]}",101687399
,"7938 N Leopard Ave, Billings, MT 59106",4040,3.0,5,Central,,,,,,Forced air,45.760825,,Billings,-108.718212,1.12 acres,3 spaces,,,2100.11764413166,439900,109,,0.0047740796638591956,,"[{'date': '6/1/2019', 'event': 'Listed for sale', 'price': '$439,900(+43989900%)'}, {'date': '6/9/2015', 'event': 'Sold', 'price': '$1(-100%)'}, {'date': '4/27/2015', 'event': 'Listing removed', 'price': '$284,900--'}, {'date': '3/19/2015', 'event': 'Price change', 'price': '$284,900(-3.4%)'}, {'date': '2/11/2015', 'event': 'Price change', 'price': '$294,900(-1.7%)'}]",,MT,For sale,,Single Family,,2009,423498,59106,5cfaaedd2b330eeec82c0568,"{'type': 'Point', 'coordinates': [-108.718212, 45.760825]}",101702451
,"2730 Black Hills Ln, Billings, MT 59101",3698,3.5,6,Central,,,,,,Forced air,45.651071,,Billings,-108.476252,20 acres,8 spaces,,,2442.1925005769863,450000,122,,0.0054270944457266365,,"[{'date': '3/26/2019', 'event': 'Price change', 'price': '$450,000(-1.1%)'}, {'date': '1/8/2019', 'event': 'Price change', 'price': '$454,900(-3.2%)'}, {'date': '8/10/2018', 'event': 'Price change', 'price': '$469,900(-4.9%)'}, {'date': '7/18/2018', 'event': 'Price change', 'price': '$494,000(-1%)'}, {'date': '5/16/2018', 'event': 'Listed for sale', 'price': '$499,000--'}]",,MT,For sale,,Single Family,,2014,466552,59101,5cfac87b5a9144c62d2c05cc,"{'type': 'Point', 'coordinates': [-108.476252, 45.651071]}",101711277
,"4630 Reka Dr, Apartment C05, Anchorage, AK 99508",661,1.0,1,Central,,,,,$278/month,Baseboard,61.204152,,Anchorage,-149.794697,,"Carport, Attached Garage",,,891.8851001740597,63500,96,,0.01404543464841039,,"[{'price': '$63,500(-12.4%)', 'event': 'Listed for sale', 'date': '2/1/2019'}, {'price': '$72,500--', 'event': 'Listing removed', 'date': '9/23/2015'}, {'price': '$72,500(-2.5%)', 'event': 'Price change', 'date': '9/3/2015'}, {'price': '$74,397(-0.1%)', 'event': 'Price change', 'date': '8/2/2015'}, {'price': '$74,500(-5.7%)', 'event': 'Price change', 'date': '7/16/2015'}]",,AK,For sale,,Condo,,1978,65719,99508,5d027b74882c28a161aa5dbf,"{'coordinates': [-149.794697, 61.204152], 'type': 'Point'}",10179
