Address,African-American,American Indian,American Indian/Alaska Native,American Indian/Alaskan Native,Asian,Asian or Asian/Pacific Islander,Asian or Pacific Islander,Asian/Pacific Islander,Black,"Black, not Hispanic",City,Female,Filipino,FullState,Hawaiian Native/Pacific Islander,Hispanic,Lowincome,Male,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Native Hawaiian or Pacific Islander,Pacific Islander,Rate,School,SchoolLink,Score,State,StateOrder,Two or more races,Type,White,"White, not Hispanic",ZipCode,_id,location
1002 Beale Street,,,,,,,,,,,Florence,,,alabama,,,,,,,,,Currently unrated,1 Step At A Time Day Care,/alabama/florence/2758-1-Step-At-A-Time-Day-Care/,-1,AL,1,,Private,,,35630,5e7b01be0c16a3618bfc3a41,"{'type': 'Point', 'coordinates': [-87.69233726530612, 34.798621734693874]}"
838 W Main St,,,,,,,,,,,Prichard,,,alabama,,,,,,,,,Currently unrated,100 BLK Men of Greater Mobile's Phoenix Program,/alabama/prichard/3708-100-BLK-Men-Of-Greater-Mobiles-Phoenix-Program/,-1,AL,2,,Private,,,36610,5e7b01be0c16a3618bfc3a42,"{'type': 'Point', 'coordinates': [-88.091228, 30.736148]}"
607 5th Street Northwest,,,,,,,,,,,Attalla,,,alabama,,,,,,,,,Currently unrated,1st Baptist Church Attalla Child Care Center,/alabama/attalla/3914-1st-Baptist-Church-Attalla-Child-Care-Center/,-1,AL,3,,Private,,,35954,5e7b01be0c16a3618bfc3a43,"{'type': 'Point', 'coordinates': [-86.08878244581364, 34.02474877963956]}"
210 Hickory Street Southeast,,,,,,,,,,,Hartselle,,,alabama,,,,,,,,,Currently unrated,1st United Methodist Pre-School,/alabama/hartselle/2840-1st-United-Methodist-Pre-School/,-1,AL,4,,Private,,,35640,5e7b01be0c16a3618bfc3a44,"{'type': 'Point', 'coordinates': [-86.93128907722028, 34.443518410307874]}"
22175 Alabama 99,,,,,,,,,,,Elkmont,,,alabama,,,,,,,,,Currently unrated,2 Kool 4 Skool Learning Center,/alabama/elkmont/2724-2-Kool-4-Skool-Learning-Center/,-1,AL,5,,Private,,,35620,5e7b01be0c16a3618bfc3a45,"{'type': 'Point', 'coordinates': [-86.9738959, 34.9289743]}"
4846 15th Street Rd,,,,,,,,,,,Hueytown,,,alabama,,,,,,,,,Currently unrated,A & B Day Care Center & Kindergarten,/alabama/hueytown/2040-A--B-Day-Care-Center--Kindergarten/,-1,AL,6,,Private,,,35023,5e7b01be0c16a3618bfc3a46,"{'type': 'Point', 'coordinates': [-87.02731930776665, 33.42921793537867]}"
1401 26th Street North,,,,,,,,,,,Bessemer,,,alabama,,,,,,,,,Currently unrated,A Beautiful Beginning Day Care,/alabama/bessemer/3837-A-Beautiful-Beginning-Day-Care/,-1,AL,7,,Private,,,35020,5e7b01be0c16a3618bfc3a47,"{'type': 'Point', 'coordinates': [-86.960814, 33.418573]}"
Po Box 692,,,,,,,,,,,Bessemer,,,alabama,,,,,,,,,Currently unrated,A Beautiful Beginning Dcc,/alabama/bessemer/4013-A-Beautiful-Beginning-Dcc/,-1,AL,8,,Private,,,35021,5e7b01be0c16a3618bfc3a48,
8854 Moores Mill Road,,,,,,,,,,,Meridianville,,,alabama,,,,,,,,,Currently unrated,A Better Choice Child Development Center,/alabama/meridianville/4008-A-Better-Choice-Child-Development-Center/,-1,AL,9,,Private,,,35759,5e7b01be0c16a3618bfc3a49,
301 Boynton St,,,,,,,,,,,Headland,,,alabama,,,,,,,,,Currently unrated,A Brighter Tomorrow Day Care,/alabama/headland/2858-A-Brighter-Tomorrow-Day-Care/,-1,AL,10,,Private,,,36345,5e7b01be0c16a3618bfc3a4a,"{'type': 'Point', 'coordinates': [-85.329117, 31.349766]}"
2509 Bronco Circle Northwest,,,,,,,,,,,Huntsville,,,alabama,,,,,,,,,Currently unrated,A Bundle Of Joy,/alabama/huntsville/2894-A-Bundle-Of-Joy/,-1,AL,11,,Private,,,35816,5e7b01be0c16a3618bfc3a4b,"{'type': 'Point', 'coordinates': [-86.640192473531, 34.75556709624591]}"
307 E Myrtle Ave,,,,,,,,,,,Foley,,,alabama,,,,,,,,,Currently unrated,A Buzy Day Learning Center,/alabama/foley/2767-A-Buzy-Day-Learning-Center/,-1,AL,12,,Private,,,36535,5e7b01be0c16a3618bfc3a4c,"{'type': 'Point', 'coordinates': [-87.68046952925518, 30.404279512466072]}"
Rt 1 Hwy 9,,,,,,,,,,,Kellyton,,,alabama,,,,,,,,,Currently unrated,A Child's Way Day Care,/alabama/kellyton/2945-A-Childs-Way-Day-Care/,-1,AL,13,,Private,,,35089,5e7b01be0c16a3618bfc3a4d,
3410 Kessinger Drive,,,,,,,,,,,Montgomery,,,alabama,,,,,,,,,Currently unrated,A Great Start Learning Academy,/alabama/montgomery/3126-A-Great-Start-Learning-Academy/,-1,AL,14,,Private,,,36116,5e7b01be0c16a3618bfc3a4e,"{'type': 'Point', 'coordinates': [-86.18241534737392, 32.33339834569469]}"
105 Turtle Bend Drive,,,,,,,,,,,Toney,,,alabama,,,,,,,,,Currently unrated,A Joyful Noise Child Development Center,/alabama/toney/2853-A-Joyful-Noise-Child-Development-Center/,-1,AL,15,,Private,,,35773,5e7b01be0c16a3618bfc3a4f,
201 Coats Ave,,,,,,,,,,,Thomaston,,,alabama,,,,,,,,,Currently unrated,A L Johnson Head Start,/alabama/thomaston/3404-A-L-Johnson-Head-Start/,-1,AL,16,,Private,,,36783,5e7b01be0c16a3618bfc3a50,"{'type': 'Point', 'coordinates': [-87.634178, 32.280743]}"
200 Heritage Drive,,,1%,,<1%,,,,29%,,Daleville,47%,,alabama,1%,14%,79%,53%,,,,,Below average,A M Windham Elementary School,/alabama/daleville/468-A-M-Windham-Elementary-School/,3,AL,17,7%,Public district,48%,,36322,5e7b01be0c16a3618bfc3a51,"{'type': 'Point', 'coordinates': [-85.716537, 31.307407]}"
407 Jordan Lane Northwest,,,,,,,,,,,Huntsville,,,alabama,,,,,,,,,Currently unrated,A Perfect Start Learning Center,/alabama/huntsville/4080-A-Perfect-Start-Learning-Center/,-1,AL,18,,Private,,,35805,5e7b01be0c16a3618bfc3a52,"{'type': 'Point', 'coordinates': [-86.62742850000001, 34.724950500000006]}"
2231 Veteran's Mem Pkwy,,,,,,,,,,,Tuscaloosa,,,alabama,,,,,,,,,Currently unrated,A Place for Me Chrn Eec,/alabama/tuscaloosa/3434-A-Place-For-Me-Chrn-Eec/,-1,AL,19,,Private,,,35404,5e7b01be0c16a3618bfc3a53,
3836 Predido Lane,,,,,,,,,,,Northport,,,alabama,,,,,,,,,Currently unrated,A Plus Academy,/alabama/northport/4095-A-Plus-Academy/,-1,AL,20,,Private,,,35473,5e7b01be0c16a3618bfc3a54,
805 McNillan St,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,A Second First Impression DC,/alabama/birmingham/2551-A-Second-First-Impression-DC/,-1,AL,21,,Private,,,35201,5e7b01be0c16a3618bfc3a55,
1428 Heflin Avenue West,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,A'dear Day Care,/alabama/birmingham/3273-Adear-Day-Care/,-1,AL,22,,Private,,,35214,5e7b01be0c16a3618bfc3a56,"{'type': 'Point', 'coordinates': [-86.89896980256368, 33.56523602038889]}"
501 Beck Street,,,1%,,<1%,,,,77%,,Atmore,50%,,alabama,<1%,3%,97%,50%,,,,,Currently unrated,A.C. Moore Elementary School,/alabama/atmore/565-A.C.-Moore-Elementary-School/,-1,AL,23,2%,Public district,16%,,36502,5e7b01be0c16a3618bfc3a57,"{'type': 'Point', 'coordinates': [-87.48633, 31.014488]}"
300 North Trawick Street,,,,,,,,,,,Abbeville,,,alabama,,,,,,,,,Currently unrated,Abbeville Alt School,/alabama/abbeville/2247-Abbeville-Alt-School/,-1,AL,24,,Public district,,,36310,5e7b01be0c16a3618bfc3a58,"{'type': 'Point', 'coordinates': [-85.252082, 31.565259]}"
M L Tillis Dr,,,,,,,,,,,Abbeville,,,alabama,,,,,,,,,Currently unrated,Abbeville Christian Academy,/alabama/abbeville/1572-Abbeville-Christian-Academy/,-1,AL,25,,Private,,,36310,5e7b01be0c16a3618bfc3a59,"{'type': 'Point', 'coordinates': [-85.260666, 31.576748]}"
100 Elm Street,,,1%,,<1%,,,,49%,,Abbeville,45%,,alabama,<1%,5%,86%,55%,,,,,Below average,Abbeville Elementary School,/alabama/abbeville/698-Abbeville-Elementary-School/,3,AL,26,6%,Public district,39%,,36310,5e7b01be0c16a3618bfc3a5a,"{'type': 'Point', 'coordinates': [-85.248723, 31.565904]}"
411 Graball Cutoff,,,<1%,,<1%,,,,64%,,Abbeville,46%,,alabama,<1%,4%,87%,54%,,,,,Below average,Abbeville High School,/alabama/abbeville/696-Abbeville-High-School/,4,AL,27,3%,Public district,29%,,36310,5e7b01be0c16a3618bfc3a5b,"{'type': 'Point', 'coordinates': [-85.27821, 31.584619]}"
Gilliam St,,,,,,,,,,,Abbeville,,,alabama,,,,,,,,,Currently unrated,Abbeville Middle School,/alabama/abbeville/697-Abbeville-Middle-School/,-1,AL,28,,Public district,,,36310,5e7b01be0c16a3618bfc3a5c,"{'type': 'Point', 'coordinates': [-85.240167, 31.563421]}"
Po Box 8712,,,,,,,,,,,Dothan,,,alabama,,,,,,,,,Currently unrated,Abc Academy,/alabama/dothan/2697-Abc-Academy/,-1,AL,29,,Private,,,36304,5e7b01be0c16a3618bfc3a5d,
211 Lanier St,,,,,,,,,,,Dothan,,,alabama,,,,,,,,,Currently unrated,ABC Academy Schoolers,/alabama/dothan/2696-ABC-Academy-Schoolers/,-1,AL,30,,Private,,,36303,5e7b01be0c16a3618bfc3a5e,"{'type': 'Point', 'coordinates': [-85.40098496005496, 31.227057896499044]}"
301 East Boundry Street,,,,,,,,,,,Eufaula,,,alabama,,,,,,,,,Currently unrated,Abc Child & Learning Center,/alabama/eufaula/2737-Abc-Child--Learning-Center/,-1,AL,31,,Private,,,36027,5e7b01be0c16a3618bfc3a5f,
771 Shades Mountain Plaza,,,,,,,,,,,Hoover,,,alabama,,,,,,,,,Currently unrated,Abc Child Development Center,/alabama/hoover/2870-Abc-Child-Development-Center/,-1,AL,32,,Private,,,35226,5e7b01be0c16a3618bfc3a60,"{'type': 'Point', 'coordinates': [-86.8442195959596, 33.41393222222222]}"
2555 Fairlane Dr,,,,,,,,,,,Montgomery,,,alabama,,,,,,,,,Currently unrated,ABC Christian Academy,/alabama/montgomery/3524-ABC-Christian-Academy/,-1,AL,33,,Private,,,36116,5e7b01be0c16a3618bfc3a61,"{'type': 'Point', 'coordinates': [-86.23670439689268, 32.33130832492682]}"
920 23rd Ave,,,,,,,,,,,Tuscaloosa,,,alabama,,,,,,,,,Currently unrated,ABC Day Camp,/alabama/tuscaloosa/3450-ABC-Day-Camp/,-1,AL,34,,Private,,,35404,5e7b01be0c16a3618bfc3a62,"{'type': 'Point', 'coordinates': [-87.5653994902969, 33.20613724613395]}"
610 Columbiana Road,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Abc Day Care And Kindergarten,/alabama/birmingham/2535-Abc-Day-Care-And-Kindergarten/,-1,AL,35,,Private,,,35209,5e7b01be0c16a3618bfc3a63,"{'type': 'Point', 'coordinates': [-86.816695, 33.4623913]}"
1600 Sharpsburg Lane,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Abc Day Care And Kindrgarten,/alabama/birmingham/2442-Abc-Day-Care-And-Kindrgarten/,-1,AL,36,,Private,,,35213,5e7b01be0c16a3618bfc3a64,
Hcr 35 Box 263-1,,,,,,,,,,,Evergreen,,,alabama,,,,,,,,,Currently unrated,ABC Day Care Center,/alabama/evergreen/2744-ABC-Day-Care-Center/,-1,AL,37,,Private,,,36401,5e7b01be0c16a3618bfc3a65,
