"MLS #","#Pics","Pics","VirTr","Status","Address","Price","DOM","Lot (SqFt)","City","Class","Age","Property Type","$/SqFt","1/4 Baths","3/4 Baths","Address 2","Annual Rent","Annual Salary","Annual Tax Amount","Area","Area #","Beds","Building Name","Building Number","Building Unit Total","Capitalization Rate","Cash To Assume","City Limits (Y/N)","City Transfer Tax?","Country","County","Days On Market","Current Rent","Date Available","County ID","Elementary School District","Elementary School","Half Baths","High School","High School District","HOA Document Fee","HOA Exist Y/N","HOA Fee","HOA Fee Frequency","HOA Name Text","Lot Acres","Lot Size Area Max Search","Lot Size Area Maximum Units","Lot Size Area Min Search","Lot Size Source","LotSize SqFt County","Max # of Units in Building","Max # of Units in Complex","Middle School","PriceRangeLow","Rent List Price","Sale Price","Sale Price Per SqFt","State","Yard SqFt","Year Built","Zip Code"
"CRPW21088011","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","2911 Topaz Lane 170","$599,000","0","4","West Covina","RE","34","Townhouse",,,,,,,,"669 - West Covina","32666","3",,,,,,,,,"Los Angeles","0",,,"19",,,"1",,"Rowland Unified",,"Yes","$420","Monthly","West Crest Homeowners Association","4.2700",,"Acres",,,,,,,,,,,"CA",,"1987","91792"
"ML81841492","42","https://mlslmedia.azureedge.net/property/MLSL/81841492/095ed0b0dc3746aba71ce57d60dc19d9/2/1?preset=thumb",,"A","1096 Norfolk Drive","$1,499,888","0","1,930","San Jose","RE","49","Townhouse","$979.04",,,,,,,"Cupertino","18","3",,,,,,,,,"Santa Clara","1",,,"43","Cupertino Union","Nelson S. Dilworth Elementary","1","Lynbrook High","Fremont Union High",,"Yes","$357","Monthly","Regency Park Townhouse Association","0.0443",,"Square Feet",,"Tax","1,930.00",,,"Joaquin Miller Middle",,,,,"CA",,"1972","95129"
"ML81841006","23","https://mlslmedia.azureedge.net/property/MLSL/81841006/1f402bc4647d4537b7190f022a77ca27/2/1?preset=thumb",,"A","22680 E Cliff Drive 3","$1,450,000","0","1,002","Santa Cruz","RE","47","Townhouse","$953.95",,,,,,,"Live Oak","45","3",,,,,,,,,"Santa Cruz","0",,,"44","Live Oak Elementary",,,,"Santa Cruz City High",,"Yes","$400","Monthly","Casitas Del Mar HOA","0.0230",,"Square Feet",,"Tax","1,002.00",,,,,,,,"CA",,"1974","95062"
"BA321031105","44","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/29/1963a0ad-3f51-468d-972c-64b54de33e26.jpg?preset=thumb",,"A","3793 Northridge Drive","$489,000","0","640","Richmond","RE","0","Townhouse","$370.74","0","0",,,,,"Richmond - Hilltop/College","1702","2",,,,,,,,,"Contra Costa","0","0",,"7",,,"1",,,,"Yes","$439","Monthly","Hilltop Village and Valley Park HOA","0.0147","640.00","Square Feet","640.00","Tax",,"0",,,,,,"370.74","CA",,"1988","94806"
"ML81841514","27","https://mlslmedia.azureedge.net/property/MLSL/81841514/3cdf2541774c45958de235ba59c46673/2/1?preset=thumb","https://www.tourbuzz.com/1824521","A","560 Greenmeadow Way","$998,888","0","2,976","San Jose","RE","47","Townhouse","$1,070.62",,,,,,,"Cupertino","18","2",,,,,,"Yes","Yes",,"Santa Clara","1",,,"43","Cupertino Union","Dwight D. Eisenhower Elementary",,"Cupertino High","Fremont Union High","200.00","Yes","$355",,"Moorpark Meadows","0.0683",,"Square Feet",,"Tax","2,976.00",,,"Warren E. Hyde Middle",,,,,"CA",,"1974","95129"
"ML81841488","20","https://mlslmedia.azureedge.net/property/MLSL/81841488/4d664f79fd3c46f990b6482870637d96/2/1?preset=thumb","http://www.1904miraplaza.com","A","1904 Miraplaza Court 19","$899,000","0","662","Santa Clara","RE","35","Townhouse","$732.08",,,,,,,"Santa Clara","8","2",,,,,,,"No",,"Santa Clara","1",,,"43","Santa Clara Unified","Ponderosa Elementary","1","Adrian Wilcox High","Santa Clara Unified",,"Yes","$453",,"Miramar Plaza","0.0152",,"Square Feet",,"Tax","662.00",,,"Marian A. Peterson Middle",,,,,"CA",,"1986","95051"
"BE40947826","25","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947826/0/120/90/2eb8f05053424ede46151ddb6252129f/1/ca6904adc52870874940004c7652e7c5/40947826.JPG",,"A","4717 Doane St","$798,000","0","1,150","Fremont","RE","34","Townhouse","$610.09",,,,,,,"Other Area","3700","2",,,,,,,"No",,"Alameda","0",,,"1",,,"1",,,,"Yes","$390","Monthly","MAYFAIR","0.0300","1,150.00","Square Feet","1,150.00",,,,"53",,,,,,"CA",,"1987","94538"
"BE40947123","22","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947123/0/120/90/381987d028493d06488a43eb8f933dfc/1/e5d015859c2b652160f52781f7939731/40947123.JPG","https://curb31luxcondo.com/mls","A","1508 Prescott","$759,000","0","0","Oakland","RE","4","Townhouse","$520.22",,,,,,,"Oakland Zip Code 94607","2607","2",,,,,,,"Yes",,"Alameda","1",,,"1",,,"1",,,,"Yes","$217","Monthly","COMMON INTEREST MANAGEMENT","0.0000","0.00","Square Feet","0.00",,,,"117",,,,,,"CA",,"2017","94607"
"CRTR21085473","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","168 S Sierra Madre Boulevard 101","$1,230,000","0","43,283","Pasadena","RE","3","Townhouse",,,,,,,,"648 - Pasadena (SE)","31880","3",,,,,,,,,"Los Angeles","0",,,"19",,,"1",,"Pasadena Unified",,"Yes","$329","Monthly","Town & Country 168","0.9936",,"Square Feet",,"Tax",,,,,,,,,"CA",,"2018","91107"
"ML81841470","21","https://mlslmedia.azureedge.net/property/MLSL/81841470/2a764f3b8d7a495e9a87c2d3070cd290/2/1?preset=thumb","www.FaceBook.com/TSEGroupRealEstate/Events","A","114 Peach Willow Court","$1,248,000","0","2,040","Los Gatos","RE","49","Townhouse","$782.94",,,,,,,"Los Gatos/Monte Sereno","16","3",,,,,,,,,"Santa Clara","1",,,"43","Campbell Union Elementary",,,,"Campbell Union High",,"Yes","$394","Monthly","Community Management","0.0468",,"Square Feet",,"Other","2,020.00",,,,,,,,"CA",,"1972","95032"
