"MLS #","#Pics","Pics","VirTr","Status","Address","Price","DOM","Lot (SqFt)","City","Class","Age","Property Type","$/SqFt","1/4 Baths","3/4 Baths","Address 2","Annual Rent","Annual Salary","Annual Tax Amount","Area","Area #","Beds","Building Name","Building Number","Building Unit Total","Capitalization Rate","Cash To Assume","City Limits (Y/N)","City Transfer Tax?","Country","County","Days On Market","Current Rent","Date Available","County ID","Elementary School District","Elementary School","Half Baths","High School","High School District","HOA Document Fee","HOA Exist Y/N","HOA Fee","HOA Fee Frequency","HOA Name Text","Lot Acres","Lot Size Area Max Search","Lot Size Area Maximum Units","Lot Size Area Min Search","Lot Size Source","LotSize SqFt County","Max # of Units in Building","Max # of Units in Complex","Middle School","PriceRangeLow","Rent List Price","Sale Price","Sale Price Per SqFt","State","Yard SqFt","Year Built","Zip Code"
"ME221043560","33","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/eafb27e0-e8ed-4917-b308-afbd8779166a.jpg?preset=thumb",,"A","6821 6th Ave","$324,900","0","8,276","Rio Linda","RE","0","Single Family Home","$356.25","0","0",,,,,"Rio Linda","10673","3",,,,,,,,,"Sacramento","0","0",,"34",,,"0",,,,"No",,,,"0.1900","8,276.00","Square Feet","8,276.00","Tax",,"0",,,,,,"356.25","CA",,"1958","95673"
"ME221042459","41","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/28/2df6d7c8-25ba-4fa5-a2c9-4110c7f8ac44.jpg?preset=thumb",,"A","4469 Winding River Circle","$439,000","0","7,475","Stockton","RE","0","Single Family Home","$257.33","0","0",,,,,"Other Area","20708","3",,,,,,,,,"San Joaquin","0","0",,"39","Lincoln Unified",,"0",,"Lincoln Unified",,"Yes","$600","Annually",,"0.1716","7,475.00","Square Feet","7,475.00","Tax",,"0",,,,,,"257.33","CA",,"1979","95219"
"ME221042438","42","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/739d731f-a018-455d-89d1-d09d50199356.jpg?preset=thumb",,"A","4352 Boulder Creek Circle","$449,000","0","10,241","Stockton","RE","0","Single Family Home","$256.28","0","0",,,,,"Other Area","20708","3",,,,,,,,,"San Joaquin","0","0",,"39","Lincoln Unified",,"0",,"Lincoln Unified",,"Yes","$600","Annually",,"0.2351","10,241.00","Square Feet","10,241.00","Tax",,"0",,,,,,"256.28","CA",,"1980","95219"
"ME221043025","42","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/f1f5ca7e-840b-47ab-9d9d-9c758a6e830d.jpg?preset=thumb",,"A","3291 Promenade Lane","$625,000","0","92,783","Placerville","RE","0","Single Family Home","$249.60","0","0",,,,,"Greater Placerville","12701","4",,,,,,,,,"El Dorado","0","0",,"9",,,"0",,"El Dorado Union High",,"No",,,,"2.1300","92,783.00","Square Feet","92,783.00","Tax",,"0",,,,,,"249.60","CA",,"1984","95667"
"BA321031298","38","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/29/b7e3fd27-4c45-40aa-82a4-4a5445357e6a.jpg?preset=thumb","http://4Corrillo.com","A","4 Corrillo Drive","$979,000","0","8,237","San Rafael","RE","0","Single Family Home","$912.40","0","0",,,,,"San Rafael","21162","3",,,,,,,,,"Marin","0","0",,"21",,,"0",,,,"No",,,,"0.1891","8,237.00","Square Feet","8,237.00","Tax",,"0",,,,,,"912.40","CA",,"1950","94903"
"TM21-723608","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg","https://my.matterport.com/show/?m=TQj8ufr9wGa&mls=1","A","1411 Woodruff Avenue","$4,449,000","0","6,753","Los Angeles","RE",,"Single Family Home",,,"0",,,,,"Other Area",,"5",,,,,,,,,,"0",,,"19",,,"1",,,,"No",,,,"0.1550",,,,"Builder",,,,,,,,,"CA",,"2015","90024"
"CRPW21086339","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","8161 Nipa Avenue","$168,000","0","10,019","California City","RE","46","Single Family Home",,,,,,,,"CAC - California City","30286","2",,,,,,,,,"Kern","0",,,"15",,,"1",,"Mojave Unified",,"No","$0",,,"0.2300",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1975","93505"
"CRDW21091503","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","3423 W 59th Street","$998,000","0","6,680","Los Angeles","RE","99","Single Family Home",,,"1",,,,,"C36 - Metropolitan Southwest","31397","4",,,,,,,,,"Los Angeles","0",,,"19",,,"1",,"Los Angeles Unified",,"No","$0",,,"0.1534",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1922","90043"
"ML81841451","23","https://mlslmedia.azureedge.net/property/MLSL/81841451/3976ca7db9484d3a8fc259f1c5fc2260/2/1?preset=thumb","https://www.tourfactory.com/2677216","A","808 Amber Lane","$5,500,000","0","36,194","Los Altos","RE","79","Single Family Home","$1,057.69",,,,,,,"South of El Monte","214","5",,,,,,"Yes",,,"Santa Clara","0",,,"43","Los Altos Elementary",,,"Los Altos High","Mountain View-Los Altos Union High",,"No",,,,"0.8309",,"Square Feet",,"Tax","36,194.00",,,,,,,,"CA",,"1942","94024"
"CRSW21091210","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","621 W Latham Avenue","$250,000","0","10,890","Hemet","RE","75","Single Family Home",,,,,,,,"Other Area",,"2",,,,,,,,,"Riverside","0",,,"33",,,"1",,"Hemet Unified",,"No","$0",,,"0.2500",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1946","92543"
"ME221041995","14","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/e86d99b8-3f59-4c36-b43f-deb6859f33e3.jpg?preset=thumb",,"A","3413 Pecky Cedar Court","$424,900","0","12,000","Sacramento","RE","0","Single Family Home","$270.12","0","0",,,,,"Other Area","10827","4",,,,,,,,,"Sacramento","0","2,170",,"34",,,"0",,,,"No",,,,"0.2755","12,000.00","Square Feet","12,000.00",,,"0",,,,,,"270.12","CA",,"1978","95827"
